date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:36	11802/11802	---M--	200	added ('OK')	text/javascript	date:Wed,%2014%20Apr%202021%2019:28:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	C:/Mis%20lugares%20Web/FoxSport/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:37	134636/134636	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2031%20Oct%202022%2020:44:24%20GMT	https://content.jwplatform.com/libraries/wlxMJclq.js	C:/Mis%20lugares%20Web/FoxSport/content.jwplatform.com/libraries/wlxMJclq.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:37	86375/86375	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e59a1fc59b1683a78b72e9caa43a3446%22	https://smartplugin.youbora.com/v6/js/adapters/jwplayer/6.2.1/sp.min.js	C:/Mis%20lugares%20Web/FoxSport/smartplugin.youbora.com/v6/js/adapters/jwplayer/6.2.1/sp.min.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:37	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/FoxSport/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:37	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Mis%20lugares%20Web/FoxSport/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:38	16667/16667	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251870ee6d5cb32ca5311356b296af21f%22	https://quantcast.mgr.consensu.org/cmp.js	C:/Mis%20lugares%20Web/FoxSport/quantcast.mgr.consensu.org/cmp.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:38	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2020:46:39%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=3572534752846017706&zx=d9f80f95-198a-47fb-8799-be83bfcadd58	C:/Mis%20lugares%20Web/FoxSport/www.blogger.com/dyn-css/authorization2571.css	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:39	171577/171577	---M--	200	added ('OK')	text/javascript	etag:761530275770050189	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Mis%20lugares%20Web/FoxSport/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:39	376/376	---M--	200	added ('OK')	image/png	etag:%2262aca5e8-178%22	https://futbolparatodos.online/wp-content/uploads/2022/06/teatro.png	C:/Mis%20lugares%20Web/FoxSport/futbolparatodos.online/wp-content/uploads/2022/06/teatro.png	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:39	13060/13060	---M--	200	added ('OK')	image/jpeg	etag:%22v4e1d%22	https://1.bp.blogspot.com/-hmLUFHeSobc/YSadTTXZbEI/AAAAAAAAThw/8HxN4Z9-OywpJ1tAuyNGmtCKqAjmlQ-1gCLcBGAsYHQ/s0/discord.jpg	C:/Mis%20lugares%20Web/FoxSport/1.bp.blogspot.com/-hmLUFHeSobc/YSadTTXZbEI/AAAAAAAAThw/8HxN4Z9-OywpJ1tAuyNGmtCKqAjmlQ-1gCLcBGAsYHQ/s0/discord.jpg	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:41	137359/137359	---M--	200	added ('OK')	text/javascript	date:Sat,%2029%20Oct%202022%2001:50:58%20GMT	https://resources.blogblog.com/blogblog/data/res/1133185816-indie_compiled.js	C:/Mis%20lugares%20Web/FoxSport/resources.blogblog.com/blogblog/data/res/1133185816-indie_compiled.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
17:46:41	157594/157594	---M--	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2022:52:35%20GMT	https://www.blogger.com/static/v1/widgets/1836859926-widgets.js	C:/Mis%20lugares%20Web/FoxSport/www.blogger.com/static/v1/widgets/1836859926-widgets.js	(from https://stream.futbolparatodos.online/2022/02/fox-sports-1.html?ar)
